city,lat,lng,country,date,maxtemp,humidity,cloudiness,windspeed
liverpool,53.41,-2.98,GB,1544325600,48.2,87,75,19.46
lagoa,37.14,-8.45,PT,1544324400,53.6,76,0,3.36
umba,66.69,34.34,RU,1544326521,29.37,94,92,13.33
kavieng,-2.57,150.8,PG,1544326522,84.09,100,44,6.62
walvis bay,-22.95,14.51,NA,1544324400,55.4,93,90,3.36
nikolskoye,59.7,30.79,RU,1544324400,28.4,86,90,8.95
kokoda,-8.88,147.74,PG,1544326575,74.6,80,20,0.69
maniitsoq,65.42,-52.9,GL,1544326575,8.31,100,0,6.62
airai,-8.93,125.41,TL,1544326575,80.31,86,24,2.04
tuatapere,-46.13,167.69,NZ,1544326575,61.77,85,80,10.42
bereda,43.27,-7.54,ES,1544324400,53.6,93,64,4.7
hamilton,32.3,-64.78,BM,1544324100,64.4,68,90,13.87
boralday,43.36,76.86,KZ,1544324400,26.6,86,90,2.24
kharp,66.82,65.8,RU,1544326576,-0.69,56,20,3.04
hambantota,6.12,81.12,LK,1544321400,77.0,100,90,5.17
mersing,2.43,103.84,MY,1544326577,83.37,94,80,4.83
silopi,37.25,42.47,IQ,1544326577,43.68,100,92,2.93
tocopilla,-22.09,-70.2,CL,1544326578,59.43,95,64,4.72
atuona,-9.8,-139.03,PF,1544326578,80.72,100,88,15.68
polson,47.69,-114.16,US,1544324100,24.08,77,90,1.14
klaksvik,62.23,-6.59,FO,1544325600,33.8,80,32,6.93
guiren,22.97,120.29,TW,1544324400,80.6,69,40,6.93
cidreira,-30.17,-50.22,BR,1544326579,64.11,71,0,15.46
juneau,58.3,-134.42,US,1544324160,48.02,70,90,18.34
broken hill,-31.97,141.45,AU,1544324400,100.4,11,0,11.41
takoradi,4.89,-1.75,GH,1544326579,80.49,100,12,6.17
bageshwar,29.85,79.77,IN,1544326579,38.42,64,0,2.71
port macquarie,-31.43,152.91,AU,1544324400,82.4,54,0,16.11
kirakira,-10.46,161.92,SB,1544326852,85.17,100,12,5.06
bilibino,68.06,166.44,RU,1544326852,-39.08,0,32,2.04
portland,45.52,-122.67,US,1544323980,41.0,59,90,16.11
srednekolymsk,67.46,153.71,RU,1544326853,-33.81,0,64,2.82
sulangan,11.14,123.72,PH,1544326853,83.06,97,44,16.8
weinsberg,49.15,9.29,DE,1544325600,46.4,87,90,17.22
carnarvon,-30.97,22.13,ZA,1544326853,47.28,95,0,12.77
hovd,63.83,10.7,NO,1544323800,33.8,98,90,6.93
guerrero negro,27.97,-114.04,MX,1544326854,60.78,87,0,8.19
port hardy,50.7,-127.42,CA,1544324400,42.8,81,75,28.86
talnakh,69.49,88.39,RU,1544326854,-2.09,71,76,18.59
russell,-33.01,-68.8,AR,1544326855,50.21,36,0,4.16
margate,-43.03,147.26,AU,1544324400,62.6,59,75,9.17
norman wells,65.28,-126.83,CA,1544324400,12.2,92,20,5.82
mount isa,-20.73,139.49,AU,1544324400,98.6,13,0,13.87
manati,41.76,19.67,AL,1544325600,48.2,93,75,4.7
totness,33.74,-80.8,US,1544325960,41.0,93,90,14.99
bam,29.11,58.36,IR,1544326856,33.2,55,0,4.27
coolum beach,-26.53,153.09,AU,1544326856,73.97,86,92,8.52
ustye,58.76,27.79,RU,1544326856,35.54,91,92,13.44
byron bay,-28.65,153.62,AU,1544324400,86.0,61,88,13.87
ambilobe,-13.19,49.05,MG,1544326857,69.51,88,0,3.71
hampton,42.74,-93.2,US,1544325300,21.2,92,1,3.36
karratha,-20.74,116.85,AU,1544326946,109.16,12,36,6.96
havelock,34.88,-76.9,US,1544324280,44.96,70,90,13.87
sinnamary,5.38,-52.96,GF,1544326946,79.82,93,48,10.98
ahipara,-35.17,173.16,NZ,1544326947,69.47,66,0,15.79
harper,30.3,-99.24,US,1544325300,41.0,83,90,10.29
ribeira grande,38.52,-28.7,PT,1544326947,65.06,97,80,17.36
pangnirtung,66.15,-65.72,CA,1544326947,-17.39,76,0,1.81
progreso,-34.68,-56.22,UY,1544324400,62.6,55,0,4.7
aksarka,66.56,67.8,RU,1544326948,14.39,85,44,3.6
college,64.86,-147.8,US,1544324280,19.94,96,90,4.7
barra do garcas,-15.89,-52.26,BR,1544326784,72.62,92,32,3.71
hualmay,-11.1,-77.61,PE,1544326948,62.67,95,64,5.28
antigonish,45.62,-61.99,CA,1544324400,17.6,72,90,13.87
saint george,39.45,22.34,GR,1544325600,44.6,81,75,3.36
maragogi,-9.01,-35.22,BR,1544326709,76.98,97,80,5.73
edd,13.93,41.69,ER,1544326949,71.31,95,88,1.81
nsunga,-1.13,31.39,TZ,1544326949,60.92,96,92,2.59
iqaluit,63.75,-68.52,CA,1544324400,-4.01,76,75,7.63
mandalgovi,45.76,106.27,MN,1544326950,-13.25,53,0,3.6
havre,48.55,-109.68,US,1544323980,17.06,83,1,3.36
tete,-16.16,33.59,MZ,1544326950,73.83,87,36,3.94
rawson,-43.3,-65.11,AR,1544326943,77.52,27,48,13.67
esperance,10.24,-61.45,TT,1544324400,75.2,83,20,5.17
vanimo,-2.67,141.3,PG,1544326951,82.34,100,36,12.33
senanga,-16.1,23.3,ZM,1544326952,72.71,78,36,6.85
pervoavgustovskiy,52.23,35.05,RU,1544326952,30.36,92,88,13.33
cherskiy,68.75,161.3,RU,1544326919,-22.16,98,68,3.71
abu samrah,35.3,37.18,SY,1544326952,42.87,89,80,2.71
hami,42.84,93.51,CN,1544326952,-0.69,53,0,2.93
tautira,-17.73,-149.15,PF,1544326200,84.2,70,40,13.87
tumen,42.97,129.84,CN,1544327056,9.89,40,0,7.96
geraldton,49.72,-86.95,CA,1544324400,19.4,67,75,13.87
praia,-20.25,-43.81,BR,1544324400,64.4,72,0,10.29
yulara,-25.24,130.99,AU,1544324400,104.0,12,0,6.93
vanavara,60.35,102.28,RU,1544327057,-21.8,31,64,3.04
adeje,5.68,5.76,NG,1544327057,74.73,92,32,3.15
hereford,52.06,-2.72,GB,1544327057,44.72,95,92,21.39
ilebo,-4.33,20.59,CD,1544327058,71.49,98,92,2.71
boden,65.83,21.69,SE,1544325600,32.0,93,88,2.24
padang,-0.92,100.36,ID,1544327058,81.66,100,36,4.94
llangefni,53.26,-4.31,GB,1544325600,50.0,81,92,33.33
lasa,34.92,32.53,CY,1544324400,62.6,63,75,6.93
mnogovershinnyy,53.94,139.92,RU,1544327000,17.67,76,76,11.54
puerto madryn,-42.77,-65.04,AR,1544327059,72.35,49,12,17.25
doha,25.29,51.53,QA,1544326200,69.8,60,0,5.82
ostrovnoy,68.05,39.51,RU,1544327060,24.78,94,80,11.88
ouro preto do oeste,-10.75,-62.22,BR,1544326841,73.7,97,32,1.92
caravelas,-17.73,-39.27,BR,1544327111,75.36,100,100,22.06
port lincoln,-34.72,135.86,AU,1544327112,66.27,86,56,14.45
sao joao da barra,-21.64,-41.05,BR,1544327112,73.83,100,56,13.22
katherine,-14.47,132.26,AU,1544324400,96.8,39,0,5.82
sambava,-14.27,50.17,MG,1544327112,78.06,100,44,11.99
ondjiva,-17.07,15.73,AO,1544327113,61.37,35,0,7.85
dondo,-19.62,34.74,MZ,1544324400,80.6,88,75,4.7
porto velho,-8.75,-63.87,BR,1544324400,75.2,94,75,3.36
faanui,-16.48,-151.75,PF,1544327113,80.0,100,36,11.43
northam,51.04,-4.21,GB,1544323800,51.8,71,92,26.4
mount gambier,-37.83,140.78,AU,1544324400,75.2,53,48,9.17
alyangula,-13.85,136.42,AU,1544324400,93.2,46,90,6.93
atambua,-9.11,124.89,ID,1544327171,84.54,96,36,4.94
barcelos,41.53,-8.62,PT,1544324400,48.2,100,20,2.15
quatre cocos,-20.21,57.76,MU,1544324400,78.8,83,75,10.29
souillac,45.6,-0.6,FR,1544324400,55.4,82,90,18.34
hukuntsi,-23.98,21.76,BW,1544327173,65.01,22,0,11.43
sechura,-5.56,-80.82,PE,1544326995,69.33,86,0,10.2
namatanai,-3.66,152.44,PG,1544327048,85.08,99,64,5.17
tiarei,-17.53,-149.33,PF,1544326200,84.2,70,40,13.87
avera,33.19,-82.53,US,1544326500,42.98,100,90,11.41
lavrentiya,65.58,-170.99,RU,1544327007,18.48,100,36,30.11
dongsheng,29.72,112.52,CN,1544327236,34.82,78,88,5.73
edea,3.8,10.13,CM,1544327236,73.92,95,100,4.72
sherlovaya gora,50.53,116.31,RU,1544327237,-8.84,62,0,3.15
pacific grove,36.62,-121.92,US,1544325300,53.06,73,1,4.7
anadyr,64.73,177.51,RU,1544326200,-14.81,75,20,8.95
henties bay,-22.12,14.28,NA,1544327037,57.86,100,24,9.08
quesnel,52.98,-122.49,CA,1544324400,24.8,79,1,6.93
turka,49.16,23.03,UA,1544327238,27.89,90,20,8.08
aykhal,65.95,111.51,RU,1544327238,-20.36,28,8,2.71
casablanca,33.6,-7.62,MA,1544324400,51.8,100,90,5.82
thompson,55.74,-97.86,CA,1544324400,6.8,92,75,2.37
banjar,-7.37,108.54,ID,1544327238,82.29,83,64,3.6
dunedin,-45.87,170.5,NZ,1544326954,65.19,88,92,0.81
miquelon,47.1,-56.38,PM,1544327239,29.15,100,12,17.69
opuwo,-18.06,13.84,NA,1544327239,46.25,74,0,2.82
dinajpur,25.63,88.63,BD,1544327239,64.83,72,0,3.49
alta gracia,-31.66,-64.43,AR,1544324400,66.2,63,0,9.17
bagrami,34.49,69.27,AF,1544327536,24.51,86,88,1.36
half moon bay,37.46,-122.43,US,1544326800,55.94,76,20,3.36
karasjok,69.47,25.52,NO,1544325600,6.8,84,76,11.41
hanover,52.37,9.74,DE,1544325600,46.4,81,75,19.46
monrovia,6.33,-10.8,LR,1544326200,75.2,94,40,5.39
san patricio,-26.98,-56.83,PY,1544327537,57.77,80,0,2.04
bordighera,43.79,7.66,IT,1544324100,51.8,66,5,4.7
saskylakh,71.97,114.09,RU,1544327538,-11.09,56,24,3.38
novospasskoye,53.15,47.75,RU,1544327538,19.11,90,68,3.94
trat,12.25,102.51,TH,1544324400,84.2,79,75,8.05
jiazi,19.61,110.49,CN,1544324400,69.8,94,90,13.42
ilulissat,69.22,-51.1,GL,1544323800,5.0,71,0,6.93
parfino,57.97,31.65,RU,1544327538,30.09,89,92,10.76
bernay,49.09,0.6,FR,1544324400,51.8,76,75,19.46
ribeirao branco,-24.22,-48.77,BR,1544327539,55.74,78,8,8.97
ugoofaaru,5.67,73.0,MV,1544327539,82.97,100,80,8.86
san policarpo,12.18,125.51,PH,1544327539,83.06,90,76,14.23
najran,17.54,44.22,SA,1544324400,62.6,48,0,2.24
