city,lat,lng,country,date,maxtemp,humidity,cloudiness,windspeed
wanaka,-44.7,169.14,NZ,1544329831,67.16,51,68,3.24
mitu,36.2,46.09,IR,1544329831,36.38,100,80,2.91
yangambi,0.77,24.47,CD,1544329832,74.23,94,92,3.13
madimba,4.42,9.93,CM,1544329832,74.5,98,80,2.62
cariamanga,-4.33,-79.56,EC,1544329832,61.81,95,92,1.01
garchitorena,13.88,123.7,PH,1544329916,82.51,87,76,11.3
corner brook,48.95,-57.95,CA,1544328000,19.4,85,40,8.05
dimona,31.07,35.04,IL,1544329917,48.94,90,92,3.36
brae,60.4,-1.35,GB,1544329200,41.0,65,36,21.92
mudgee,-32.6,149.59,AU,1544328000,93.2,14,0,6.93
maine-soroa,13.21,12.02,NE,1544329917,56.5,50,0,6.38
ulladulla,-35.36,150.48,AU,1544329918,71.35,86,32,7.54
druskininkai,54.02,23.98,LT,1544328000,33.8,95,0,8.95
lompoc,34.64,-120.46,US,1544328900,51.08,81,1,4.7
camacha,33.08,-16.33,PT,1544328000,64.4,77,75,13.87
jalingo,10.3,10.93,NG,1544329919,65.5,39,0,9.78
miguel hidalgo,19.41,-99.19,MX,1544327160,60.8,51,40,4.7
ayaviri,-14.88,-70.59,PE,1544329919,24.14,71,0,2.57
manuk mangkaw,4.8,119.85,PH,1544329919,86.38,100,24,2.28
mianyang,31.46,104.75,CN,1544329920,37.96,100,92,4.74
dunaszekcso,46.09,18.76,HU,1544328000,33.8,79,20,5.82
serpa,37.94,-7.6,PT,1544328000,46.4,100,0,5.82
lakes entrance,-37.88,147.99,AU,1544330213,67.84,96,92,3.85
askiz,53.13,90.53,RU,1544330213,-5.7,68,36,2.51
safakulevo,54.99,62.54,RU,1544330213,-0.21,43,0,7.27
chapais,49.78,-74.86,CA,1544328000,-2.21,84,90,5.82
motygino,58.18,94.69,RU,1544330213,-13.89,85,64,3.06
colares,38.8,-9.45,PT,1544328000,48.2,87,0,3.36
ranong,9.96,98.62,TH,1544328000,84.2,70,75,11.41
bubaque,11.28,-15.83,GW,1544330214,79.18,100,0,5.59
chicama,-7.84,-79.15,PE,1544328000,68.0,88,75,5.82
bafq,31.6,55.4,IR,1544329951,49.79,34,0,1.72
marsaxlokk,35.84,14.54,MT,1544328900,55.4,71,20,14.99
deputatskiy,69.3,139.9,RU,1544330215,-35.58,0,20,3.24
ankazobe,-18.32,47.12,MG,1544328000,66.2,82,20,5.82
fallon,46.84,-105.12,US,1544327760,15.08,80,1,5.08
shizunai,42.33,142.37,JP,1544330216,23.2,100,12,11.9
tra vinh,9.93,106.35,VN,1544330216,86.47,69,80,11.9
murgab,37.5,61.97,TM,1544328000,50.0,87,90,4.7
sungaipenuh,-2.08,101.38,ID,1544330358,76.21,91,20,1.23
kemin,42.79,75.7,KG,1544330359,32.92,92,80,2.28
westport,53.8,-9.52,IE,1544330173,47.18,95,80,19.39
cervo,-22.19,-46.24,BR,1544330359,49.84,91,0,4.92
barcelona,41.38,2.18,ES,1544328000,44.6,81,0,13.87
